,school,no_of_applicants,accept_rate,sat_25th_perc,sat_75th_perc,sat_median,sat_median_pct,act_25th_perc,act_75th_perc,act_median,act_median_pct,applicants_accepted
0,Stanford University,47452,0.043,1440.0,1570.0,1505.0,92.08,32.0,35.0,33.5,93.06,2040
1,Harvard College,42749,0.047,1460.0,1580.0,1520.0,93.33,33.0,35.0,34.0,94.44,2009
2,Princeton University,35370,0.055,1440.0,1570.0,1505.0,92.08,32.0,35.0,33.5,93.06,1945
3,Columbia University,40203,0.055,1450.0,1560.0,1505.0,92.08,33.0,35.0,34.0,94.44,2211
4,Yale University,36844,0.061,1460.0,1570.0,1515.0,92.92,33.0,35.0,34.0,94.44,2247
5,California Institute of Technology,8367,0.064,1530.0,1560.0,1545.0,95.42,35.0,36.0,35.5,98.61,535
6,Massachusetts Institute of Technology,21706,0.067,1500.0,1570.0,1535.0,94.58,34.0,36.0,35.0,97.22,1454
7,Brown University,38674,0.071,1440.0,1570.0,1505.0,92.08,33.0,35.0,34.0,94.44,2745
8,University of Chicago,32283,0.073,1490.0,1570.0,1530.0,94.17,33.0,35.0,34.0,94.44,2356
9,Pomona College,10401,0.07400000000000001,1390.0,1540.0,1465.0,88.75,32.0,35.0,33.5,93.06,769
10,University of Pennsylvania,44961,0.077,1450.0,1560.0,1505.0,92.08,33.0,35.0,34.0,94.44,3461
11,Dartmouth College,23650,0.079,1440.0,1560.0,1500.0,91.67,32.0,35.0,33.5,93.06,1868
12,Bowdoin College,9332,0.08800000000000001,1330.0,1520.0,1425.0,85.42,31.0,34.0,32.5,90.28,821
13,Duke University,35767,0.08900000000000001,1450.0,1570.0,1510.0,92.5,33.0,35.0,34.0,94.44,3183
14,Swarthmore College,11442,0.08900000000000001,1380.0,1540.0,1460.0,88.33,31.0,35.0,33.0,91.67,1018
15,Northwestern University,40585,0.091,1440.0,1550.0,1495.0,91.25,33.0,35.0,34.0,94.44,3693
16,Vanderbilt University,37310,0.091,1460.0,1560.0,1510.0,92.5,33.0,35.0,34.0,94.44,3395
17,Claremont McKenna College,6066,0.10300000000000001,1360.0,1510.0,1435.0,86.25,31.0,34.0,32.5,90.28,624
18,Johns Hopkins University,29129,0.106,1470.0,1560.0,1515.0,92.92,33.0,35.0,34.0,94.44,3087
19,Cornell University,49114,0.109,1400.0,1560.0,1480.0,90.0,32.0,35.0,33.5,93.06,5353
20,Rice University,20923,0.111,1450.0,1560.0,1505.0,92.08,33.0,35.0,34.0,94.44,2322
21,Amherst College,10569,0.113,1410.0,1550.0,1480.0,90.0,31.0,34.0,32.5,90.28,1194
22,Barnard College,9320,0.11800000000000001,1340.0,1520.0,1430.0,85.83,31.0,34.0,32.5,90.28,1099
23,Bates College,8222,0.121,1270.0,1480.0,1375.0,81.25,29.0,33.0,31.0,86.11,994
24,University of California—​Los Angeles,111322,0.12300000000000001,1290.0,1510.0,1400.0,83.33,27.0,34.0,30.5,84.72,13692
25,Tulane University,42185,0.129,1360.0,1520.0,1440.0,86.67,31.0,33.0,32.0,88.89,5441
26,University of Southern California,64352,0.13,1350.0,1530.0,1440.0,86.67,30.0,34.0,32.0,88.89,8365
27,Williams College,9560,0.13,1410.0,1550.0,1480.0,90.0,32.0,35.0,33.5,93.06,1242
