,id,lot_frontage,lot_area,lot_shape,neighborhood,overall_qual,mas_vnr_area,exter_qual,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,total_bsmt_sf,heating_qc,electrical,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,functional,fireplaces,fireplace_qu,garage_finish,garage_area,garage_qual,paved_drive,wood_deck_sf,saleprice,total_porch_area,age_sold
0,109,54.429697899602544,13517,1,8,6,289.0,4,CBlock,3.0,3.0,1.0,6.0,725.0,5,4,1479,0.0,2,1,3,1,4,7,0,0.0,2.0,475.0,3.0,2,0,130500,44,34.0
1,544,43.0,11492,1,13,7,132.0,4,PConc,4.0,3.0,1.0,6.0,913.0,5,4,2122,1.0,2,1,4,1,4,7,1,3.0,2.0,559.0,3.0,2,0,220000,74,13.0
2,153,68.0,7922,0,11,5,0.0,3,CBlock,3.0,3.0,1.0,6.0,1057.0,3,4,1057,1.0,1,0,3,1,4,7,0,0.0,1.0,246.0,3.0,2,0,109000,52,57.0
3,318,73.0,9802,0,22,5,0.0,3,PConc,4.0,3.0,1.0,1.0,384.0,4,4,1444,0.0,2,1,3,1,3,7,0,0.0,3.0,400.0,3.0,2,100,174000,0,4.0
4,255,82.0,14235,1,13,6,0.0,3,PConc,2.0,4.0,1.0,1.0,676.0,3,4,1445,0.0,2,0,3,1,3,7,0,0.0,1.0,484.0,3.0,0,0,138500,59,110.0
5,138,117.0,16492,1,11,6,0.0,4,CBlock,3.0,3.0,1.0,5.0,1517.0,5,4,1888,0.0,2,1,2,1,4,4,1,4.0,3.0,578.0,3.0,2,0,190000,0,44.0
6,2827,35.0,3675,0,5,6,82.0,3,PConc,4.0,3.0,4.0,6.0,547.0,4,4,1072,1.0,2,0,2,1,3,7,0,0.0,3.0,525.0,3.0,2,0,140000,44,1.0
7,145,78.07320923010688,12160,1,11,5,180.0,3,CBlock,3.0,3.0,1.0,3.0,1188.0,2,4,1188,1.0,1,0,3,1,3,7,0,0.0,2.0,531.0,3.0,2,0,142000,0,51.0
8,1942,85.18587136754769,15783,0,3,5,0.0,3,CBlock,3.0,3.0,1.0,3.0,924.0,3,4,924,0.0,1,0,2,1,3,7,0,0.0,1.0,420.0,3.0,2,0,112500,324,55.0
9,1956,70.0,11606,1,11,5,192.0,3,PConc,4.0,3.0,3.0,3.0,1040.0,3,4,2080,0.0,1,2,5,1,2,7,2,3.0,1.0,504.0,3.0,2,335,135000,0,38.0
10,1044,24.0,2304,0,2,6,232.0,3,CBlock,3.0,3.0,1.0,5.0,483.0,3,4,987,0.0,1,1,2,1,3,7,0,0.0,1.0,264.0,3.0,2,0,85400,0,37.0
11,2752,64.0,7488,1,18,7,0.0,4,PConc,4.0,3.0,3.0,6.0,1208.0,5,4,1208,0.0,2,0,2,1,4,7,0,0.0,2.0,632.0,3.0,2,105,183600,58,1.0
12,807,117.0,19950,0,13,5,0.0,4,PConc,0.0,0.0,0.0,0.0,0.0,5,4,2016,0.0,1,0,4,1,3,4,1,3.0,1.0,576.0,3.0,1,0,131000,0,129.0
13,1177,24.0,2645,0,21,8,309.0,4,PConc,4.0,3.0,1.0,6.0,960.0,5,4,1607,1.0,2,1,3,1,4,7,0,0.0,1.0,480.0,3.0,2,169,200000,0,9.0
14,1480,74.0,9627,0,18,7,0.0,4,PConc,4.0,3.0,3.0,6.0,1351.0,5,4,1361,0.0,2,0,3,1,4,7,0,0.0,2.0,610.0,3.0,2,0,193000,50,1.0
15,324,93.0,10114,0,12,5,0.0,3,PConc,5.0,3.0,3.0,1.0,1430.0,5,4,1430,0.0,2,0,3,1,4,7,0,0.0,2.0,624.0,3.0,2,0,173500,0,6.0
16,1311,34.0,4571,0,3,5,0.0,3,BrkTil,3.0,3.0,1.0,1.0,624.0,2,4,1344,0.0,1,0,4,1,3,7,0,0.0,1.0,513.0,2.0,2,0,98000,96,92.0
